,Unnamed: 0,Unnamed: 1,location,count,mean,lnglat,logcount,absmean
68,68,68,吉林长春,107,-0.19626168224299065,"125.3239995997326,43.816201670699584",37.382630675695246,0.38518647916848625
69,69,69,哈萨克斯坦,1,-1.0,"0,0",0.0,10.0
70,70,70,四川,33,-0.2727272727272727,"104.06700017978646,30.571499386692416",27.97206049173184,0.7438016528925618
71,71,71,四川乐山,45,0.3333333333333333,"104.06700017978646,30.571499386692416",30.45329991816256,1.1111111111111112
72,72,72,四川内江,81,-0.037037037037037035,"105.05799961481156,29.580200102199186",35.15559323737951,0.013717421124828532
73,73,73,四川凉山彝族自治州,27,0.0,"102.26699999802916,27.88170005284932",26.366694928034633,0.0
74,74,74,四川南充,47,-0.1702127659574468,"104.06700017978646,30.571499386692416",30.801180813680467,0.2897238569488456
75,75,75,四川宜宾,31,0.2903225806451613,"104.06700017978646,30.571499386692416",27.47189763588117,0.8428720083246619
76,76,76,四川巴中,10,0.0,"104.06700017978646,30.571499386692416",18.420680743952367,0.0
77,77,77,四川广元,17,0.35294117647058826,"104.06700017978646,30.571499386692416",22.665706752449733,1.2456747404844293
78,78,78,四川广安,12,0.16666666666666666,"104.06700017978646,30.571499386692416",19.879253198304006,0.2777777777777778
79,79,79,四川德阳,39,-0.02564102564102564,"104.06700017978646,30.571499386692416",29.30849316903717,0.006574621959237343
80,80,80,四川成都,728,-0.17857142857142858,"104.06700017978646,30.571499386692416",52.722408385573495,0.31887755102040816
81,81,81,四川攀枝花,15,0.13333333333333333,"104.06700017978646,30.571499386692416",21.664401608817677,0.17777777777777778
82,82,82,四川泸州,24,-0.3333333333333333,"105.44200000509083,28.871799630697485",25.42443064278357,1.1111111111111112
83,83,83,四川甘孜藏族自治州,6,-0.3333333333333333,"101.96200006848773,30.049399564578472",14.33407575382444,1.1111111111111112
84,84,84,四川眉山,16,0.375,"104.06700017978646,30.571499386692416",22.18070977791825,1.40625
85,85,85,四川绵阳,98,0.2346938775510204,"104.06700017978646,30.571499386692416",36.67973982936458,0.5508121615993335
86,86,86,四川自贡,46,-0.15217391304347827,"104.06700017978646,30.571499386692416",30.62913117191276,0.23156899810964085
87,87,87,四川资阳,18,0.5,"104.06700017978646,30.571499386692416",23.122974063169323,2.5
88,88,88,四川达州,29,0.0,"107.4680004224395,31.20859925640086",26.938366639891797,0.0
89,89,89,四川遂宁,20,0.25,"104.06700017978646,30.571499386692416",23.96585818843193,0.625
90,90,90,四川阿坝藏族羌族自治州,4,-0.5,"102.22499960329101,31.899300921414415",11.090354888959125,2.5
91,91,91,四川雅安,7,0.2857142857142857,"104.06700017978646,30.571499386692416",15.567281192442506,0.8163265306122448
92,92,92,埃及,2,0.0,"0,0",5.545177444479562,0.0
93,93,93,塞内加尔,1,0.0,"0,0",0.0,0.0
94,94,94,墨西哥奇瓦瓦州,1,0.0,"120.26085478951387,30.852574016824178",0.0,0.0
95,95,95,大韩民国,1,1.0,"118.84621420822464,34.54578724580336",0.0,10.0
96,96,96,大韩民国京畿道,6,-0.16666666666666666,"116.36868120321704,39.90948573793589",14.33407575382444,0.2777777777777778
97,97,97,大韩民国首尔特别市,4,0.25,"120.39858108525408,36.06759861317192",11.090354888959125,0.625
